UE,NO_INV,NO_PECHE,NO_POSE,NO_SPEC,PANNEAU,ESPECE,LONG_T,MASSE_GR,SEXE,MAT_SEX,TYPE_STRUC,NB_STRUC,ECH_STRUC,AGE_1,INSECTES,BENTHOS,PLANCTON,CHYME,VIDE,POISS,NB_POI_EST,ESP_POIS1,ESP_POIS2,AUTRE_CONT,COMMENTAIR,STATUT_MAR,TYPE_MARQU,COULEUR,NO_ETIQUET,DESC_ETIQ,COM_MARQ,GENETIQUE,NO_ETI_GEN,CONTAMINAN,NO_ETI_CO,COM_TISSUS,IND_ACTION
07-00882-IPE,4,1,12,1,-,SANA,505,1139,F,O,OT,2,1,,,,,,,TRUE,,,,,,,,,,,,TRUE,1,TRUE,1,,a
07-00882-IPE,4,1,2,2,-,SANA,253,119,F,N,OT,2,2,,,,TRUE,,,,,,,,,,,,,,,TRUE,2,FALSE,,,a
07-00882-IPE,4,1,9,3,-,SANA,322,246,F,N,OT,2,3,,,,TRUE,,,,,,,,,,,,,,,TRUE,3,FALSE,,,a
07-00882-IPE,4,1,9,4,-,SANA,273,140,F,N,OT,2,4,,,,TRUE,,,,,,,,,,,,,,,TRUE,4,FALSE,,,a
07-00882-IPE,4,1,9,5,-,SANA,295,190,M,N,OT,2,5,,,,TRUE,,,,,,,,,,,,,,,TRUE,5,FALSE,,,a
07-00882-IPE,4,1,9,6,-,SANA,220,69,M,N,OT,2,6,,,,TRUE,,,TRUE,,PEFL,,,,,,,,,,TRUE,6,FALSE,,,a
07-00882-IPE,4,1,9,7,-,SANA,212,64,F,N,OT,2,7,,,,,,TRUE,,,,,,,,,,,,,TRUE,7,FALSE,,,a
07-00882-IPE,4,1,7,8,-,SANA,468,913,M,O,OT,2,8,,,,,,,TRUE,5,PEFL,,,,,,,,,,TRUE,8,TRUE,8,,a
07-00882-IPE,4,1,7,9,-,SANA,258,123,F,N,OT,2,9,,,,TRUE,,,,,,,,,,,,,,,TRUE,9,FALSE,,,a
07-00882-IPE,4,1,7,10,-,SANA,246,116,F,N,OT,2,10,,,,TRUE,,,,,,,,,,,,,,,TRUE,10,FALSE,,,a
07-00882-IPE,4,1,7,11,-,SANA,304,226,F,N,OT,2,11,,,,,,TRUE,,,,,,,,,,,,,TRUE,11,FALSE,,,a
07-00882-IPE,4,1,7,12,-,SANA,271,149,M,N,OT,2,12,,,,,,TRUE,,,,,,,,,,,,,TRUE,12,FALSE,,,a
07-00882-IPE,4,1,7,13,-,SANA,340,295,F,N,OT,2,13,,,,TRUE,,,,,,,,,,,,,,,TRUE,13,FALSE,,,a
07-00882-IPE,4,1,7,14,-,SANA,268,146,F,N,OT,2,14,,,,,,TRUE,,,,,,,,,,,,,TRUE,14,FALSE,,,a
07-00882-IPE,4,1,7,15,-,SANA,389,487,F,N,OT,2,15,,,,TRUE,,,,,,,,,,,,,,,TRUE,15,TRUE,15,,a
07-00882-IPE,4,1,10,16,-,SANA,271,153,M,N,OT,2,16,,,,TRUE,,,,,,,,,,,,,,,TRUE,16,FALSE,,,a
07-00882-IPE,4,1,10,17,-,SANA,304,198,F,N,OT,2,17,,,,TRUE,,,,,,,,,,,,,,,TRUE,17,FALSE,,,a
07-00882-IPE,4,1,10,18,-,SANA,252,121,M,N,OT,2,18,,,,,,TRUE,,,,,,,,,,,,,TRUE,18,FALSE,,,a
