Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (g),Tin Size (oz),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,
"Albert Ménès Vintage Whole Anchovies, 2018",19,Olive Oil,Anchovy,,France,Albert Ménès,Yes,No,None,No,No,Unstated,115g,4.06oz,No,No,No,No,No,No,No,No,No,None,,,,
"Albert Ménès Vintage Smoked Sprats, 2017",12.5,Rapeseed Oil,Sprats,,France,Albert Ménès,Yes,No,None,No,No,Unstated,110g,3.88oz,Yes,No,No,No,No,No,No,No,No,None,,,,
Albert Ménès Boneless Sardines in Organic Extra Virgin Olive Oil,15.5,Olive Oil,Sardines,,France,Albert Ménès,Yes,No,None,Yes,No,Unstated,115g,4.06oz,No,No,No,No,No,No,No,No,No,None,,,,
Alkorta Cod Fillets in Olive Oil,15,Olive Oil,Cod,Gadus morhua,Spain,Alkorta,Yes,No,None,Yes,Yes,Unstated,200g,7 oz,No,No,No,No,No,No,No,No,No,None,2.5,370,15,
Alshark Moroccan Sardines in Oil,3.25,Vegetable Oil,Sardines,?,Morocco,Alshark,Yes,No,None,No,No,Unstated,120g,4.23 oz,Yes,No,No,No,No,No,No,No,No,None,1,603,25,
Alshark Moroccan Sardines in Spicy Oil,3.25,Vegetable Oil,Sardines,?,Morocco,Alshark,Yes,No,Spiced/Spicy,No,No,Unstated,120g,4.23 oz,Yes,No,No,No,Yes,No,No,No,No,None,1,603,25,
"Angelo Parodi Grated Mullet Bottarga (Salted, Dried Roe)",8,None,Mullet Roe,,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,20g,.70oz,No,No,No,No,No,No,No,No,No,None,,,10,
Angelo Parodi Boneless & Skinless Sardine Fillets in Olive Oil,6.5,Olive Oil,Sardines,Sardina pilchardus,Morocco,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,105g,3.7 oz,No,No,No,No,No,No,No,No,No,None,1,300,10,
Angelo Parodi Mackerel Filets in Olive Oil,5,Olive Oil,Mackerel,Scomber scombrus / Scomber colias,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,125g,4.4 oz,No,No,No,No,No,No,No,No,No,None,1,330,14,
Angelo Parodi Mackerel Filets in Olive Oil with Ginger and Chili Pepper,5.5,Olive Oil,Mackerel,Scomber colias,Italy,Angelo Parodi,Yes,No,"Ginger, Chili Pepper",Yes,Yes,Unstated,125g,4.4 oz,No,No,No,No,Yes,No,No,No,No,None,1,330,14,
Angelo Parodi Portuguese Sardines in Olive Oil,4.5,Olive Oil,Sardines,Sardina pilchardus,Italy,Angelo Parodi,Yes,No,None,No,No,Unstated,120g,4.23 oz,No,No,No,No,No,No,No,No,No,None,1,420,18,
Angelo Parodi Salmon al Naturale (in water),12,Water,Salmon,Salmo salar,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,1,140,6,
Angelo Parodi Spicy Portuguese Sardines in Olive Oil,4.5,Olive Oil,Sardines,Sardina pilchardus,Italy,Angelo Parodi,Yes,No,Spiced/Spicy,No,No,Unstated,120g,4.23 oz,No,No,No,No,Yes,No,No,No,No,None,1,420,18,
Angelo Parodi Trancio di Tonno all'Olio d'Oliva (Yellowfin Tuna Loin Slice in Olive Oil),12,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,Angelo Parodi,Yes,No,None,NA,NA,NA,150g,5.29 oz,No,No,No,No,No,No,No,No,No,None,1,420,18,
Angelo Parodi Ventresca di Tonno in Olio d'Oliva (Yellowfin Ventresca in Olive Oil),16,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,Angelo Parodi,Yes,No,None,NA,NA,NA,115g,4.06 oz,No,No,No,No,No,No,No,No,No,None,1,420,18,
Appel Herring Fillets in Paprika Sauce,6.5,Canola Oil,Herring,,Germany,Appel,Yes,Yes,"Papkrika, Tomato",NA,NA,NA,200g,7.05oz,No,No,No,No,No,Yes,Yes,No,No,None,2.5,410,16,
Appel Herring Fillets in Tomato Sauce,6.5,Canola Oil,Herring,,Germany,Appel,Yes,Yes,Tomato,NA,NA,NA,200g,7.055oz,No,No,No,No,No,Yes,No,No,No,None,2.5,390,17,
"Appel Smoked Trout Fillets, Skinless in Canola Oil",9.5,Canola Oil,Trout,,Germany,Appel,Yes,No,None,NA,NA,NA,110g,3.88oz,Yes,No,No,No,No,No,No,No,No,None,1,490,21,
"Ar de Arte Small Sardines in Olive Oil 14/16, Fernando Rei Edition",17,Olive Oil,Sardines,Sardina pilchardus,Spain,Ar de Arte,Yes,No,none,No,no,14/16,110g,3.88oz,No,No,No,No,No,No,No,No,No,None,1,390,18,
"Ar de Arte Small Scallops in Vieira Sauce 12/16, Fernando Rei Edition",18,Olive Oil,Scallops,,Spain,Ar de Arte,Yes,No,Tomato,yes,yes,12/16,110g,3.88oz,No,No,No,No,No,Yes,No,No,No,None,1,520,25,
"Ar de Arte Razor Clams in Brine, Fernando Rei Edition",24,Salt Brine,Razor Clams,Ensis siliqua,Spain,Ar de Arte,Yes,No,None,Yes,Yes,8,110g,3.88oz,No,No,No,No,No,No,No,No,No,None,1,370,18,
"Ar de Arte Fried Mussels in Escabeche 7/10, Fernando Rei Edition",18.5,"Olive Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ar de Arte,Yes,No,Escabeche,Yes,Yes,7/10,110g,3.88oz,No,No,No,Yes,Not Specified,No,No,No,No,None,1,400,15,
"Ar de Arte Cockles in Brine 30/40, Fernando Rei Edition",33,Salt Brine,Cockles,Cerastoderma edule,Spain,Ar de Arte,Yes,No,None,Yes,Yes,30/40,110g,3.88oz,No,No,No,No,No,No,No,No,No,None,1,370,15,
Arroyabe Anchovy Fillets in Olive Oil,8,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Arroyabe,Yes,No,None,Yes,Yes,Unstated,50g,1.8 oz,No,No,No,No,No,No,No,No,No,None,2,950,42,
Arroyabe Bonito del Norte (Albacore) in Olive Oil,9.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Arroyabe,Yes,No,None,NA,NA,NA,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,290,13,
Arroyabe Ventresca of Bonito del Norte (Albacore) in Olive Oil,23,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Arroyabe,Yes,No,None,NA,NA,NA,111g,3.9 oz,No,No,No,No,No,No,No,No,No,None,1.5,218,9,
Artesanos Alalunga Sea Bass with Pesto,35,Olive Oil,Seabass,Dicentrarchus labrax,Spain,Artesanos,Yes,Yes,Basil Pesto,NA,NA,NA,138g,4.87oz,No,No,No,Yes,No,No,No,No,No,None,1,95,,
Artesanos Alalunga Sea Bass with Olive Oil,35,Olive Oil,Seabass,Dicentrarchus labrax,Spain,Artesanos,Yes,No,None,NA,NA,NA,138g,4.87oz,No,No,No,No,No,No,No,No,No,None,1,190,,
Artesanos Alalunga Mackerel in Olive Oil,22.5,Olive Oil,Mackerel,Scomber scombrus,Spain,Artesanos,Yes,No,None,NA,NA,NA,138g,4.87oz,No,No,No,No,No,No,No,No,No,None,1,200,,
Artesanos Alalunga European Hake in Salsa Verde,25,Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos,Yes,No,Salsa Verde,NA,NA,NA,138g,4.87oz,No,No,No,Yes,No,No,No,No,No,None,1,280,,
Artesanos Bonito del Norte (Albacore) Loins with Onion and Green Peppers,22.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos,Yes,No,"Pepper, Onion",NA,NA,NA,138g,4.87oz,No,No,No,No,No,No,No,No,No,None,1,280,,
Artesanos Bonito del Norte (Albacore) Loins in Tomato Sauce,22.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos,Yes,Yes,Tomato,NA,NA,NA,138g,4.87oz,No,No,No,Yes,Yes,Yes,No,No,No,None,1,280,,
Artesanos Alalunga Cocochas de Merluza Europea (European Hake Cheeks) in Olive Oil 6/8,34,Extra Virgin Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos Alalunga,Yes,No,None,Yes,Yes,Unstated,134g,4.73 oz,No,No,No,No,No,No,No,No,No,None,1.34,200,?,
Artesanos Alalunga Cuttlefish In Its Own Ink,22.5,Extra Virgin Olive Oil,Cuttlefish,Sepia officinalis,Spain,Artesanos Alalunga,Yes,No,Ink,NA,NA,Unstated,138g,4.87 oz,No,No,No,Yes,No,No,No,No,No,None,1.38,160,?,
Artesanos Alalunga European Hake Loins in Olive Oil (Lomos de Merluza Europea),22.5,Extra Virgin Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos Alalunga,Yes,No,None,Yes,Yes,Unstated,138g,4.87 oz,No,No,No,No,No,No,No,No,No,None,1.38,200,?,
Artesanos Alalunga Tarantelo de Bonito del Norte in Extra Virgin Olive Oil,22.5,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos Alalunga,Yes,No,None,NA,NA,NA,138g,4.87 oz,No,No,No,No,No,No,No,No,No,None,0.88,500,?,
AS do MAR Ventresca of Yellowfin,17,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,AS do MAR,Yes,No,None,NA,NA,NA,125g,4.4 oz,No,No,No,No,No,No,No,No,No,None,1,310,14,
AS do MAR Yellowfin Loin,11.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,AS do MAR,Yes,No,None,NA,NA,NA,200g,7.05 oz,No,No,No,No,No,No,No,No,No,None,1,670,29,
Ati Manel Garfish in Olive Oil,7,Olive Oil,Garfish,Belone belone,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,1,85,10,
Ati Manel Garfish in Spiced Olive Oil,7,Olive Oil,Garfish,Belone belone,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,120g,4.2oz,No,No,No,No,Yes,No,No,No,No,None,1,85,10,
Ati Manel Mackerel Fillets in Olive Oil,9,Olive Oil,Mackerel,Scomber japonicus,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,125g,4.4oz,No,No,No,No,No,No,No,No,No,None,1,85,14,
