date ,gear,crew ,temp_c,set_number,start_time ,end_time ,start_depth_ft,end_depth_ft,lat_start ,long_start,lat_end,long_end,basin,species,tag_id,tl_mm,fl_mm,girth_mm,wt_g,fin,maxillary,stomach,sex,killed,age_est,comments,Code ,Colour 
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,13,09:15,11:00,100,75,45.79905,-74.75550,45.79945,-74.75510,East Basin,lt,07061,291,259,130,172,yes,yes,yes,,,,,tl = 350-450 mm,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,25,08:30,11:17,75,96,45.79993,-74.75501,45.79990,-74.75552,East Basin,lt,12412,313,280,145,226,yes,yes,yes,,,,,tl = 525-765 mm,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,27,11:45,13:40,65,71,45.80602,-74.76522,45.80668,-74.75650,East Basin,lt,12425,330,295,135,250,no,yes,yes,,,,,tl = 470-500 mm,
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,43,08:39,10:45,76,,45.79916,-74.75469,,,East Basin,lt,07147,339,306,140,279,yes,yes,yes,,,,,,
3-May-21,gn,"Connor Reeve, Ben Hlina, Domenic Carmaniso",7,2,12:45,14:25,,,45.79726,-74.75430,45.79733,-74.75421,East Basin,lt,07099,340,317,145,315,yes,yes,yes,,,,,,
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,13,09:15,11:00,100,75,45.79905,-74.75550,45.79945,-74.75510,East Basin,lt,07058,345,316,154,318,yes,yes,yes,,,,,,
14-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",10,49,07:56,10:06,40,48,45.80576,-74.75591,45.80566,-74.75591,East Basin,lt,07126,355,317,1445,310,yes,yes,yes,,,,,,
14-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",10,48,07:54,09:47,33,36,45.80514,-74.75574,45.80566,-74.75591,East Basin,lt,07142,359,322,151,326,yes,yes,yes,,,,,,
12-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,37,10:21,12:50,36,56,45.80561,-74.75588,45.80619,-74.75622,East Basin,lt,07076,361,322,153,340,yes,yes,yes,,,,very windy scale fluctaing,,
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,14,09:20,11:45,55,60,45.79767,-74.75161,45.79762,-74.75203,East Basin,lt,05576,365,340,165,385,yes,yes,yes,,,,,,
