date ,site,gear,wind,surface_temp,crew,start_time,end_time,lat_start,long_start,lat_end,long_end,start_depth,end_depth,basin,species,tag_no,tl_mm,fl_mm,girth_mm,wt_g,fin_scales_muscle,sex,stomach,vtag,maxillary,age_est,comments
9/8/2020,F-12,,,,,,,45.79222,-74.75389,,,,,East Basin,lt,1,505,465,255,1139,yes,f,yes,,yes,13,
9/9/2020,F-2,,,,,,,45.84722,-74.79,,,,,North Basin,lt,2,253,247,105,119,yes,f,yes,,yes,3,
9/8/2020,F-9,,,,,,,45.81003,-74.76756,,,,,East Basin,lt,3,322,295,134,246,yes,f,yes,,yes,8,
9/8/2020,F-9,,,,,,,45.81003,-74.76756,,,,,East Basin,lt,4,273,254,110,140,yes,f,yes,,yes,6,
9/8/2020,F-9,,,,,,,45.81003,-74.76756,,,,,East Basin,lt,5,295,278,128,190,yes,m,yes,,yes,6,
9/8/2020,F-9,,,,,,,45.81003,-74.76756,,,,,East Basin,lt,6,220,205,90,69,yes,m,yes,,yes,3,
9/8/2020,F-9,,,,,,,45.81003,-74.76756,,,,,East Basin,lt,7,212,203,89,64,yes,f,no,,yes,3,stomach was empty
9/8/2020,F-7,,,,,,,45.81638,-74.77017,,,,,East Basin,lt,8,468,429,225,913,yes,m,yes,,yes,11,
9/8/2020,F-7,,,,,,,45.81638,-74.77017,,,,,East Basin,lt,9,258,245,114,123,yes,f,,,yes,5,
9/8/2020,F-7,,,,,,,45.81638,-74.77017,,,,,East Basin,lt,10,246,243,110,116,yes,f,yes,,yes,3,
9/8/2020,F-7,,,,,,,45.81638,-74.77017,,,,,East Basin,lt,11,304,285,135,226,yes,f,no,,yes,4,stomach was empty
9/8/2020,F-7,,,,,,,45.81638,-74.77017,,,,,East Basin,lt,12,271,256,130,149,yes,m,no,,yes,5,stomach was empty
9/8/2020,F-7,,,,,,,45.81638,-74.77017,,,,,East Basin,lt,13,340,315,147,295,yes,f,yes,,yes,5,
9/8/2020,F-7,,,,,,,45.81638,-74.77017,,,,,East Basin,lt,14,268,257,117,146,yes,f,no,,yes,5,stomach was empty
9/8/2020,F-7,,,,,,,45.81638,-74.77017,,,,,East Basin,lt,15,389,368,185,487,yes,f,no,,yes,9,stomach was empty
9/8/2020,F-10,,,,,,,45.80278,-74.75139,,,,,East Basin,lt,16,271,253,118,153,yes,m,yes,,yes,3,
9/8/2020,F-10,,,,,,,45.80278,-74.75139,,,,,East Basin,lt,17,304,292,140,198,yes,f,yes,,yes,4,
9/8/2020,F-10,,,,,,,45.80278,-74.75139,,,,,East Basin,lt,18,252,242,108,121,yes,m,no,,yes,5,stomach was empty
9/8/2020,F-10,,,,,,,45.80278,-74.75139,,,,,East Basin,lt,19,240,220,115,118,yes,f,yes,,yes,4,
9/8/2020,F-10,,,,,,,45.80278,-74.75139,,,,,East Basin,lt,20,200,189,99,65,yes,m,yes,,yes,3,
9/8/2020,F-10,,,,,,,45.80278,-74.75139,,,,,East Basin,lt,21,289,276,116,160,yes,f,no,,yes,5,stomach was empty
